杜牧	旅宿	寒灯思旧事，断雁警愁眠。
左思	咏史	边城苦鸣镝，羽檄飞京都。
杜甫	春望	感时花溅泪，恨别鸟惊心。
王维	送别	但去莫复问，白云无尽时。
陆游	立夏	槐柳阴初密，帘栊暑尚微。
左思	咏史	当世贵不羁，遭难能解纷。
苏轼	洞仙歌	冰肌玉骨，自清凉无汗。
唐寅	白发	君子重言行，努力以自私。
左思	咏史	振衣千仞冈，濯足万里流。
徐幹	情诗	微风起闺闼，落日照阶庭。
黄庭坚	赠元发弟放言	行百里者半九十
王维	山中	荆溪白石出，天寒红叶稀。
李白	忆秦娥	箫声咽，秦娥梦断秦楼月。
李煜	浪淘沙令	往事只堪哀，对景难排。
陆凯	赠范晔	江南无所有，聊赠一枝春。
李商隐	微雨	窗迥侵灯冷，庭虚近水闻。
杜甫	石壕吏	天明登前途，独与老翁别。
李商隐	即目	大势真无利，多情岂自由。
李白	侠客行	事了拂衣去，深藏身与名。
陶渊明	四时	春水满四泽，夏云多奇峰。
姬昌	周易 · 乾卦	上九：亢龙有悔。
晏殊	渔家傲	齐揭调，神仙一曲渔家傲。
张祜	何满子	一声何满子，双泪落君前。
王维	鸟鸣涧	月出惊山鸟，时鸣春涧中。
严蕊	卜算子	不是爱风尘，似被前缘误。
李商隐	风雨	黄叶仍风雨，青楼自管弦。
林景熙	溪亭	独行穿落叶，闲坐数流萤。
吴均	胡无人行	男儿不惜死，破胆与君尝
杨慎	临江仙	青山依旧在，几度夕阳红。
卢纶	塞下曲	平明寻白羽，没在石棱中。
陶渊明	四时	秋月扬明晖，冬岭秀寒松。
张乔	书边事	春风对青冢，白日落梁州。
刘彤	临江仙	满阶芳草绿，一片杏花香。
杜甫	新婚别	嫁女与征夫，不如弃路旁。
柳宗元	溪居	晓耕翻露草，夜榜响溪石。
刘眘虚	阙题	闲门向山路，深柳读书堂。
周邦彦	苏幕遮	水面清圆，一一风荷举。
白居易	夜雪	夜深知雪重，时闻折竹声。
林景熙	溪亭	何处渔歌起？孤灯隔远汀。
刘眘虚	阙题	时有落花至，远随流水香。
何逊	下方山	繁霜白晓岸，苦雾黑晨流。
徐幹	与妻别	凉风动秋草，蟋蟀鸣相随。
何逊	慈姥矶	野岸平沙合，连山远雾浮。
孟浩然	春晓	夜来风雨声，花落知多少？
柳宗元	江雪	千山鸟飞绝，万径人踪灭。
刘桢	赠从弟	岂不罹凝寒，松柏有本性！
李商隐	滞雨	滞雨长安夜，残灯独客愁。
孟郊	征妇怨	君泪濡罗巾，妾泪满路尘。
李贽	童心说	诗何必古选，文何必先秦。
李白	送友人	青山横北郭，白水绕东城。
李建勋	溪斋	衰条寒露鹊，幽果落惊鱼。
杜甫	八阵图	江流石不转，遗恨失吞吴。
李商隐	菊花	暗暗淡淡紫，融融冶冶黄。
范仲淹	岳阳楼记	政通人和，百废具兴。
孟郊	游子吟	谁言寸草心，报得三春晖。
李白	关山月	长风几万里，吹度玉门关。
李白	紫骝马	白雪关山远，黄云海戍迷。
袁中道	夜泉	山白鸟忽鸣，石冷霜欲结。
宋玉	对楚王问	是其曲弥高，其和弥寡。
沈佺期	杂诗	谁能将旗鼓，一为取龙城。
李白	侠客行	十步杀一人，千里不留行。
文嘉	昨日歌	昨日复昨日，昨日何其好？
柳永	鹤冲天	才子词人，自是白衣卿相。
卢纶	塞下曲	欲将轻骑逐，大雪满弓刀。
卢纶	塞下曲	醉和金甲舞，雷鼓动山川。
